geoid,keys,address,city,country,lat,long,name,postalCode,province,websites,address_full
05045,us/ar/conway/414harkriderst/93075755,414 Harkrider St,Conway,US,35.084757,-92.436504,Arby's,72032,AR,"http://www.arbys.com,https://locations.arbys.com/us/ar/conway/414-harkrider-st.html,http://locations.arbys.com/us/ar/conway/414-harkrider-st.html","872, West 6th Street, Conway, Faulkner County, Arkansas, 72032, United States"
01103,us/al/decatur/21206thavese/93075755,2120 6th Ave SE,Decatur,US,34.5709,-86.97246,Arby's,35601,AL,"http://www.arbys.com,http://locations.arbys.com/us/al/decatur/2120-6th-ave-se.html","Arby's, 6th Avenue Southeast, Decatur, Morgan County, Alabama, 35603, United States"
29165,us/mo/kansascity/6951nw83rdter/93075755,6951 NW 83rd Ter,Kansas City,US,39.24591,-94.66124,Arby's,64152,MO,"http://www.arbys.com,http://locations.arbys.com/us/mo/kansas-city/6951-nw-83rd-terrace.html","Super 8, Northwest 83rd Terrace, Kansas City, Platte County, Missouri, 64154, United States"
53005,us/wa/kennewick/3506wclearwaterave/93075755,3506 W Clearwater Ave,Kennewick,US,46.2127,-119.16899,Arby's,99336,WA,"https://locations.arbys.com/us/wa/kennewick/3506-w-clearwater-ave.html,http://www.arbys.com,http://locations.arbys.com/us/wa/kennewick/3506-w-clearwater-ave.html","326, North Morain Street, Highlands, Kennewick, Benton County, Washington, 99336, United States"
47021,us/tn/kingstonsprings/129luybenhillsrd/93075755,129 Luyben Hills Rd,Kingston Springs,US,36.084373,-87.099827,Arby's,37082,TN,"http://locations.arbys.com,http://www.arbys.com","Shell, Luyben Hills Road, Kingston Springs, Cheatham County, Tennessee, 37082, United States"
51085,us/va/glenallen/10267washingtonhwy/93075755,10267 Washington Hwy,Glen Allen,US,37.68716,-77.46319,Arby's,23059,VA,http://www.arbys.com,"Arby's, 10267, Washington Highway, French Hay, Hanover County, Virginia, 23059, United States"
18137,us/in/batesville/staterd229staterd46e/93075755,State Rd 229 & State Rd 46 E,Batesville,US,39.307,-85.21674,Arby's,47006,IN,"http://www.arbys.com,https://locations.arbys.com/us/in/batesville/state-rd-229---state-rd-46-e.html","Taco Bell;KFC, SR 229, Batesville, Ripley County, Indiana, 47006, United States"
25009,us/ma/lawrence/99winthropave/-791445730,99 Winthrop Ave,Lawrence,US,42.68871,-71.14764,Wendy's,1843,MA,http://www.wendys.com,"97, Winthrop Avenue, South Lawrence, Lawrence, Essex County, Massachusetts, 01843, United States"
31053,us/ne/fremont/2040nbellst/93075755,2040 N Bell St,Fremont,US,41.449051,-96.48314,Arby's,68025,NE,"http://www.arbys.com,https://locations.arbys.com/us/ne/fremont/2040-n-bell-st.html,http://locations.arbys.com/us/ne/fremont/2040-n-bell-st.html","Arby's, 2040, North Bell Street, Fremont, Dodge County, Nebraska, 68025, United States"
39015,us/oh/mountorab/116npointdr/93075755,116 N Point Dr,Mount Orab,US,39.043613,-83.922183,Arby's,45154,OH,"http://www.arbys.com,https://locations.arbys.com/us/oh/mount-orab/116-n-point-dr.html","Arby's, Donald Drive, Mount Orab, Brown County, Ohio, 45154, United States"
49035,us/ut/midvale/57wcenterst/-1629397812,57 W Center St,Midvale,US,40.6108,-111.89306,Arctic Circle,84047-7363,UT,http://acburger.com,"Arctic Circle, Center Street, Midvale, Salt Lake County, Utah, 84047, United States"
39057,us/oh/xenia/160wmainst/93075755,160 W Main St,Xenia,US,39.684956,-83.932225,Arby's,45385,OH,"http://www.arbys.com,https://locations.arbys.com/us/oh/xenia/160-w-main-st.html,http://locations.arbys.com/us/oh/xenia/160-w-main-st.html","Arby's, West Main Street, Waterstreet Historic District, Xenia, Greene County, Ohio, 45385, United States"
20091,us/ks/shawnee/22410w66thst/93075755,22410 W 66th St,Shawnee,US,39.00935,-94.84612,Arby's,66226-3514,KS,http://www.arbys.com,"Chipotle, 22410, West 66th Terrace, Monticello Farms, Shawnee, Johnson County, Kansas, 66226, United States"
42129,"us/pa/leechburg/16townecenterdr/93075755,us/pa/leechburg/16townecenterdr/93075755",16 Towne Center Dr,Leechburg,US,40.60853,-79.61157,Arby's,15656-9420,PA,http://locations.arbys.com/us/pa/leechburg/16-towne-center-drive.html,"Arby's, Towne Center Drive, Allegheny Township, Westmoreland County, Pennsylvania, 15656, United States"
23011,us/me/augusta/166westernave/-2061630068,166 Western Ave,Augusta,US,44.313155,-69.795618,Burger King,4330,ME,"http://www.bk.com,https://locations.bk.com/me/augusta/166-western-ave.html,https://www.bk.com","Burger King, 166, Western Avenue (East), Augusta, Kennebec County, Maine, 04330, United States"
23019,us/me/bangor/631hoganrd/-2061630068,631 Hogan Rd,Bangor,US,44.83506,-68.74158,Burger King,4401,ME,"https://locations.bk.com/me/bangor/631-hogan-rd.html,http://www.bk.com,https://www.bk.com","Burger King, 631, Hogan Road, Bangor, Penobscot County, Maine, 04401, United States"
23019,us/me/bangor/1049unionst/-791445730,1049 Union St,Bangor,US,44.816346,-68.808841,Wendy's,4401,ME,http://www.wendys.com,"1037, Union Street, Bangor, Penobscot County, Maine, 04401, United States"
28151,us/ms/greenville/1716highway82e/-1560457549,1716 Highway 82 E,Greenville,US,33.40003,-91.03094,Captain D's,38703,MS,https://locations.captainds.com/ms/greenville/1716-hwy-82-e.html,"1755, US 82;US 278, Greenville, Washington County, Mississippi, 38703, United States"
13067,us/ga/marietta/155cobbpkwys/93075755,155 Cobb Pkwy S,Marietta,US,33.9485,-84.51832,Arby's,30060-9208,GA,http://www.arbys.com,"Popeyes, 159, Cobb Parkway South, Marietta, Cobb County, Georgia, 30060, United States"
05119,us/ar/maumelle/105savanahdr/93075755,105 Savanah Dr,Maumelle,US,34.85486,-92.40319,Arby's,72113,AR,http://locations.arbys.com/us/ar/maumelle/105-savannah-dr.html,"Exxon, Carnahan Drive, Maumelle, Pulaski County, Arkansas, 72113, United States"
